signal,seg,h,n,ep,mean,med,hit,base_mean,base_hit,edge,p_shift,mae
comm_long|pct13>=0.1,2023+,8,38,10.0,0.04026591537997121,0.024939799411256014,0.7105263157894737,0.04127644240856628,0.68,-0.0010105270285950749,0.288,-0.014647525289182742
comm_long|pct13>=0.1,2023+,13,38,10.0,0.07313523301754468,0.04251861766398923,0.7894736842105263,0.07129724925888474,0.8058823529411765,0.0018379837586599418,0.1936,-0.016454370883862566
comm_long|pct13>=0.1,2023+,26,36,10.0,0.15787685546043695,0.1751751020518827,0.9166666666666666,0.16260157757521554,0.9235668789808917,-0.00472472211477859,0.2382,-0.014241383986752188
comm_long|pct13>=0.1,2020-22,4,14,9.0,-0.0018013270626358602,0.006737538002914767,0.5714285714285714,0.00588844866049347,0.5448717948717948,-0.00768977572312933,0.8484,-0.017098741183931867
comm_long|pct13>=0.1,2020-22,8,14,9.0,-0.0006745754464352009,-0.02553022780373121,0.35714285714285715,0.010290132803350205,0.532051282051282,-0.010964708249785406,0.8756,-0.035290532844210125
comm_long|pct13>=0.1,2020-22,13,14,9.0,-0.012016369804188918,-0.03783199433758583,0.42857142857142855,0.0175371595730731,0.5384615384615384,-0.029553529377262015,0.9708,-0.041824143037569754
comm_long|pct13>=0.1,2020-22,26,14,9.0,-0.021458538547724004,-0.03880557015846409,0.42857142857142855,0.03134070603275328,0.6025641025641025,-0.052799244580477286,0.9726,-0.06795647789601643
comm_long|pct13>=0.15,ALL,4,27,9.0,0.02599576265403038,0.011600333848568845,0.6666666666666666,0.01262554843983999,0.5970149253731343,0.013370214214190391,0.1394,-0.009010814101625346
comm_long|pct13>=0.15,ALL,8,27,9.0,0.02950392887676992,0.011403684166598982,0.5555555555555556,0.026672622775896472,0.6102719033232629,0.002831306100873447,0.425,-0.01642040612909828
comm_long|pct13>=0.15,ALL,13,27,9.0,0.0686396276663294,0.02873877025193905,0.7777777777777778,0.045571562169968736,0.6779141104294478,0.023068065496360667,0.2132,-0.018697769575926965
comm_long|pct13>=0.15,ALL,26,27,9.0,0.12673186140427298,0.15031590791984062,0.8518518518518519,0.09718082370740687,0.7635782747603834,0.02955103769686611,0.2658,-0.026700464156832252
comm_long|pct13>=0.15,2023+,4,21,5.0,0.03731916050467184,0.015064256879374849,0.7619047619047619,0.01849698735368388,0.6424581005586593,0.018822173150987963,0.0576,-0.0052751195233187165
comm_long|pct13>=0.15,2023+,8,21,5.0,0.04976592238041455,0.04948451913027441,0.7142857142857143,0.04127644240856628,0.68,0.00848947997184827,0.2172,-0.0063663270701269856
comm_long|pct13>=0.15,2023+,13,21,5.0,0.0992771706140573,0.07211571767031377,0.9523809523809523,0.07129724925888474,0.8058823529411765,0.027979921355172563,0.0984,-0.00671748558826095
comm_long|pct13>=0.15,2023+,26,21,5.0,0.17850888183421562,0.18493007371052528,1.0,0.16260157757521554,0.9235668789808917,0.015907304259000082,0.204,-0.00671748558826095
comm_long|pct13>=0.15,2020-22,4,6,4.0,-0.013636129823214752,-0.016248100608867444,0.3333333333333333,0.00588844866049347,0.5448717948717948,-0.01952457848370822,0.8728,-0.022085745125698553
comm_long|pct13>=0.15,2020-22,8,6,4.0,-0.04141304838598627,-0.04456485025516205,0.0,0.010290132803350205,0.532051282051282,-0.05170318118933648,0.9858,-0.05160968283549781
comm_long|pct13>=0.15,2020-22,13,6,4.0,-0.03859177265071828,-0.0477001390800017,0.16666666666666666,0.0175371595730731,0.5384615384615384,-0.05612893222379138,0.9858,-0.060628763532758013
comm_long|pct13>=0.15,2020-22,26,6,4.0,-0.05448771010052622,-0.07354377661073563,0.3333333333333333,0.03134070603275328,0.6025641025641025,-0.0858284161332795,0.985,-0.09664088914683182
comm_long|pct26>=0.15,ALL,4,28,6.0,0.01733335065290056,0.010456822802489385,0.5714285714285714,0.01262554843983999,0.5970149253731343,0.0047078022130605714,0.3718,-0.010921613686085943
comm_long|pct26>=0.15,ALL,8,28,6.0,0.0248298652181163,0.011074028365433808,0.6071428571428571,0.026672622775896472,0.6102719033232629,-0.0018427575577801732,0.5494,-0.01727729471896566
comm_long|pct26>=0.15,ALL,13,28,6.0,0.06442838727401255,0.034346986382602473,0.8214285714285714,0.045571562169968736,0.6779141104294478,0.018856825104043816,0.3206,-0.019212122234637783
